1918/19,"December 14, 1918",Toronto Arenas,Rusty Crawford,Ottawa Senators,future considerations (loan of Harry Cameron)
1918/19,"November 28, 1918",Montreal Canadiens,cash,Ottawa Senators,Tommy Smith
1919/20,"January 14, 1920",Toronto Arenas,Goldie Prodgers,Montreal Canadiens,Harry Cameron
1919/20,"December 21, 1919",Quebec Bulldogs,Ed Carpenter,Montreal Canadiens,Goldie Prodgers
1920/21,"January 25, 1921",Hamilton Tigers,future considerations,Toronto St. Patricks,Sprague Cleghorn
1920/21,"January 21, 1921",Toronto Maple Leafs,cash,Hamilton Tigers,Mickey Roach
1920/21,"January 4, 1921",Hamilton Tigers,cash,Montreal Canadiens,"rights to Harry Punch Broadbent
rights to Sprague Cleghorn"
1920/21,"December 16, 1920",Hamilton Tigers,Howard Lockhart,Toronto St. Patricks,cash
1920/21,"November 27, 1920",Toronto Arenas,Harry Cameron,Montreal Canadiens,"Joe Matte
 Goldie Prodgers"
1920/21,"November 27, 1920",Hamilton Tigers,"Jack Coughlin
 Joe Matte
 Goldie Prodgers
loan of Billy Coutu for 1920-21 season",Montreal Canadiens,"Jack McDonald
 Harry Mummery
 Dave Ritchie"
1921/22,"November 26, 1921",Hamilton Tigers,"Amos Arbour
 Harry Mummery",Montreal Canadiens,Sprague Cleghorn
1921/22,"November 9, 1921",Hamilton Tigers,Cully Wilson,Toronto St. Patricks,Ed Carpenter
1922/23,"December 22, 1922",Hamilton Tigers,Edmond Bouchard,Montreal Canadiens,Joe Malone
1922/23,"October 1, 1922",Quebec Bulldogs,Bert Corbeau,Montreal Canadiens,cash
1922/23,"May 27, 1922",Hamilton Tigers,Jake Forbes,Toronto St. Patricks,cash
1923/24,"January 16, 1924",Hamilton Tigers,Ganton Scott,Toronto St. Patricks,cash
1923/24,"December 18, 1923",Hamilton Tigers,cash,Ottawa Senators,Leth Graham
1923/24,"December 14, 1923",Quebec Bulldogs,"Ken Randall
cash 
rights to Corbett Denneny",Toronto St. Patricks,"Amos Arbour
 George Carey
 Bert Corbeau"
1924/25,"January 10, 1925",Boston Bruins,Lionel Hitchman,Ottawa Senators,cash
1924/25,"January 3, 1925",Boston Bruins,"Bobby Benson
 Bernie Morris",Montreal Maroons,Alf Skinner
1924/25,"December 24, 1924",Hamilton Tigers,rights to Charlie Cotch,Montreal Canadiens,cash
1924/25,"December 19, 1924",Boston Bruins,George Carroll,Montreal Maroons,rights to Ernie Parkes
1924/25,"December 14, 1924",Boston Bruins,Billy Red Stuart,Toronto St. Patricks,cash
1924/25,"December 9, 1924",Montreal Maroons,Reg Noble,Toronto St. Patricks,$8 000 cash
1924/25,"December 8, 1924",Boston Bruins,Ernie Parkes,Toronto St. Patricks,cash
1924/25,"October 20, 1924",Montreal Maroons,"Clint Benedict
 Harry Punch Broadbent",Ottawa Senators,cash
1925/26,"January 23, 1926",Pittsburgh Pirates,"loan of Jesse Spring 
rights to Odie Cleghorn",New York Americans,rights to Joe Miller
1925/26,"January 14, 1926",Boston Bruins,cash,Toronto St. Patricks,Norm Shay
1925/26,"November 25, 1925",Pittsburgh Pirates,loan of Jesse Spring for 1925-26 season,New York Americans,future considerations (Joe Miller)
1925/26,"November 8, 1925",Boston Bruins,Sprague Cleghorn,Montreal Canadiens,$5K cash
1925/26,"October 23, 1925",Montreal Maroons,cash,Toronto St. Patricks,Gerry Munro
1926/27,"April 11, 1927",Detroit Red Wings,"George Hay
 Percy Traub",Chicago Blackhawks,$15K cash
1926/27,"January 31, 1927",Detroit Cougars,Jim Riley,Chicago Blackhawks,cash
1926/27,"January 18, 1927",Boston Bruins,cash,Ottawa Senators,Stan Jackson
1926/27,"January 17, 1927",Boston Bruins,Billy Boucher,Montreal Canadiens,Carson Cooper
1926/27,"January 17, 1927",Boston Bruins,rights to Hal Winkler,New York Rangers,cash
1926/27,"January 7, 1927",Detroit Cougars,"Archie Briden
 Duke Keats",Boston Bruins,"Frank Fredrickson
 Harry Meeking"
1926/27,"January 7, 1927",Detroit Cougars,Pete Bellefeuille,Toronto St. Patricks,Harold Halderson
1926/27,"January 6, 1927",Detroit Cougars,cash,Montreal Maroons,Russell Oatman
1926/27,"January 1, 1927",Toronto St. Patricks,cash,New York Rangers,rights to Leo Bourgeault
1926/27,"December 16, 1926",Pittsburgh Pirates,"Charlie Langlois
$2K cash",New York Americans,Lionel Conacher
1926/27,"December 12, 1926",Detroit Cougars,cash,Montreal Canadiens,Harold Gizzy Hart
1926/27,"November 15, 1926",New York Americans,Laurie Scott,Toronto St. Patricks,Jesse Spring
1926/27,"October 28, 1926",Pittsburgh Pirates,John McKinnon,Montreal Canadiens,cash
1926/27,"October 22, 1926",Boston Bruins,Billy Coutu,Montreal Canadiens,Amby Moran
1926/27,"October 18, 1926",Montreal Canadiens,Art Gagne,Chicago Blackhawks,cash
1926/27,"October 18, 1926",Detroit Cougars,rights to Art Duncan,Chicago Blackhawks,"Gord Fraser
 Art Gagne"
1926/27,"October 18, 1926",Toronto St. Patricks,$15K cash,Chicago Blackhawks,Babe Dye
1926/27,"August 1, 1926",Toronto St. Patricks,cash,Ottawa Senators,Jack Adams
1927/28,"April 16, 1928",Toronto Maple Leafs,Alex Gray,New York Rangers,Butch Keeling
1927/28,"April 8, 1928",Toronto Maple Leafs,"$12.5K cash 
rights to Jack Arbour",Detroit Red Wings,Jim Herberts
1927/28,"February 13, 1928",Detroit Cougars,"cash 
loan of Pete Palangio",Montreal Canadiens,Stan Brown
1927/28,"February 8, 1928",Toronto Maple Leafs,cash,Montreal Canadiens,George Patterson
1927/28,"December 30, 1927",Montreal Canadiens,cash,Chicago Blackhawks,loan of Leo Lafrance
1927/28,"December 21, 1927",Toronto Maple Leafs,Jim Herberts,Boston Bruins,"$15K cash
rights to Eric Pettinger"
